2023-06-30 00:57:40,067 DEBUG      generated dict_message {'action': 'message', 'from': 'test_0', 'to': 'test_1', 'time': 1688075860.0675683, 'msg_text': 'hi'}
2023-06-30 00:57:40,070 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43476), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'from': 'test_0', 'to': 'test_1', 'time': 1688075860.0675683, 'msg_text': 'hi'}), {} from the function create_msg
2023-06-30 00:57:40,070 INFO       on server user test_0 to send hi for test_1
2023-06-30 00:57:40,123 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43470), raddr=('127.0.0.1', 7777)>,), {} from the function msg_from_server
2023-06-30 00:57:40,124 INFO       message received from user test_0: hi
2023-06-30 00:57:55,199 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43476), raddr=('127.0.0.1', 7777)>, {'action': 'exit', 'time': 1688075875.1991007, 'account_name': 'test_0'}), {} from the function user_interactive
2023-06-30 00:57:55,200 INFO       Connection ended after user test_0 command
2023-06-30 00:57:55,203 CRITICAL   error sending response from server
2023-06-30 00:58:01,379 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 43470), raddr=('127.0.0.1', 7777)>, {'action': 'exit', 'time': 1688075881.378576, 'account_name': 'test_1'}), {} from the function user_interactive
2023-06-30 00:58:01,380 INFO       Connection ended after user test_1 command
2023-06-30 00:58:01,738 CRITICAL   error sending response from server
2023-07-03 17:09:32,131 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-07-03 17:09:32,132 INFO       server connection established
2023-07-03 17:09:32,133 DEBUG      generated message 'presence' for user alexandr
2023-07-03 17:09:32,134 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 34574), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688393372.13297, 'user': {'account_name': 'alexandr'}}), {} from the function init_sock
2023-07-03 17:10:30,988 ERROR      invalid message received from client
2023-07-03 17:12:03,580 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-07-03 17:12:03,583 INFO       server connection established
2023-07-03 17:12:03,583 DEBUG      generated message 'presence' for user user_10
2023-07-03 17:12:03,585 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 52660), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688393523.58371, 'user': {'account_name': 'user_10'}}), {} from the function init_sock
2023-07-03 17:12:04,135 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 52660), raddr=('127.0.0.1', 7777)>,), {} from the function init_sock
2023-07-03 17:12:04,135 DEBUG      generated hello_message from the server: {'response': 200}
2023-07-03 17:12:04,135 INFO       sending message 200 : OK from server to client
2023-07-03 17:12:04,137 DEBUG      The client started processes for sending and receiving messages
2023-07-03 17:14:28,296 CRITICAL   error sending response from server
2023-07-06 08:40:27,218 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-07-06 08:40:27,255 INFO       Запущен клиент с парамертами: адрес сервера: 127.0.0.1 , порт: 7777, имя пользователя: test_1
2023-07-06 08:40:27,256 CRITICAL   Не удалось подключиться к серверу 127.0.0.1:7777, конечный компьютер отверг запрос на подключение.
2023-07-06 08:40:27,463 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-07-06 08:40:27,463 INFO       Запущен клиент с парамертами: адрес сервера: 127.0.0.1 , порт: 7777, имя пользователя: test_0
2023-07-06 08:40:27,479 CRITICAL   Не удалось подключиться к серверу 127.0.0.1:7777, конечный компьютер отверг запрос на подключение.
2023-07-06 08:42:52,497 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-07-06 08:43:04,931 INFO       Запущен клиент с парамертами: адрес сервера: 127.0.0.1 , порт: 7777, имя пользователя: test_5
2023-07-06 08:43:04,933 DEBUG      Сформировано "presence" сообщение для пользователя test_5
2023-07-06 08:43:04,938 DEBUG      A function create_presence was called with parameters ('test_5',), {} from the function main
2023-07-06 08:43:04,942 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49266), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688622184.9330962, 'user': {'account_name': 'test_5'}}), {} from the function main
2023-07-06 08:43:05,563 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49266), raddr=('127.0.0.1', 7777)>,), {} from the function main
2023-07-06 08:43:05,564 DEBUG      Разбор приветственного сообщения от сервера: {'response': 200}
2023-07-06 08:43:05,564 DEBUG      A function process_response_ans was called with parameters ({'response': 200},), {} from the function main
2023-07-06 08:43:05,564 INFO       Установлено соединение с сервером. Ответ сервера: 200 : OK
2023-07-06 08:43:05,827 DEBUG      Запрос списка известных пользователей test_5
